NBHDNo,NBHDName,TSNS 2020 Designation,Median total income of private household in 2020 ($),Median total income of economic family in 2020 ($),Participation rate,Employment rate,Unemployment rate,"No certificate, diploma or degree (%)",High (secondary) school diploma or equivalency certificate (%),"Postsecondary certificate, diploma or degree (%)",No_of_Branches,No_of_Workstations,No_of_Programs,visits_2015,visits_2016,visits_2017,visits_2018,visits_2019,reg_2015,reg_2016,reg_2017,reg_2018,reg_2019,circ_2015,circ_2016,circ_2017,circ_2018,circ_2019,wrkstn_use_2015,wrkstn_use_2016,wrkstn_use_2017,wrkstn_use_2018,wrkstn_use_2019
088,High Park North,Not an NIA or Emerging Neighbourhood,83000,120000,72.0,62.5,13.1,6.55,16.51,76.96,1,15,0,473488,287359,151817,284820,284820,1833,1867,1296,2512,2536,462269,465511,281048,421173,426354,65663,63363,38557,68987,67083
089,Runnymede-Bloor West Village,Not an NIA or Emerging Neighbourhood,138000,170000,70.3,63.4,9.8,10.84,17.07,72.15,1,19,1,150800,158532,163511,154666,154666,1202,1211,1359,1672,1755,274077,278761,295469,269642,267037,64375,64400,63875,43864,41567
090,Junction Area,Not an NIA or Emerging Neighbourhood,96000,123000,72.7,63.4,12.8,12.16,20.1,67.74,1,11,0,117375,114135,126645,102239,102239,915,1058,1234,1349,1274,221150,223409,250427,201476,201398,34038,29238,37370,21239,20898
091,Weston-Pelham Park,Neighbourhood Improvement Area,81000,112000,61.5,52.1,15.2,27.83,27.44,44.68,1,5,0,29788,30566,24915,0,0,284,306,287,6,254,58560,57530,50583,4239,14047,13925,13838,9487,0,1473
092,Corso Italia-Davenport,Not an NIA or Emerging Neighbourhood,94000,119000,66.9,59.4,11.3,22.77,21.53,55.66,1,20,1,105000,104307,103822,111761,111761,814,834,808,1420,1442,151261,145940,149156,169416,169397,54700,51225,49488,42709,40379
094,Wychwood,Not an NIA or Emerging Neighbourhood,86000,124000,66.6,58.3,12.5,15.37,20.54,64.08,1,3,0,39975,35844,34954,37506,37506,242,280,316,452,560,126743,125999,119636,131944,138693,6688,6113,6100,4008,4311
095,Annex,Not an NIA or Emerging Neighbourhood,85000,144000,69.7,61.6,11.6,5.66,15.35,78.99,3,19,0,340226,343606,349749,326582,326582,2562,2556,2774,3241,3608,715876,707979,656904,619184,619521,65926,63351,66113,61488,56815
096,Casa Loma,Not an NIA or Emerging Neighbourhood,103000,164000,64.7,57.6,11.0,4.76,17.34,77.85,1,11,0,116525,143043,133540,62229,62229,1032,1164,1101,579,17,235971,242999,232975,115280,14190,37263,36875,36463,16140,0
097,Yonge-St. Clair,Not an NIA or Emerging Neighbourhood,94000,157000,67.5,61.8,8.5,4.75,14.41,80.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
098,Rosedale-Moore Park,Not an NIA or Emerging Neighbourhood,122000,200000,59.1,53.5,9.4,4.83,15.1,80.07,2,226,3,1558204,1744658,1886346,1883981,1883981,13407,15201,15361,17437,16795,834394,834280,800718,795534,790945,961396,977011,921562,494429,451793
099,Mount Pleasant East,Not an NIA or Emerging Neighbourhood,110000,170000,68.7,61.4,10.6,7.25,16.89,75.86,1,2,0,62863,66950,59793,62333,62333,546,656,589,837,776,152476,161406,155354,153772,155612,6138,6250,5738,6809,5368
