NBHDNo,NBHDName,BranchCode,BranchName,Year,Visits,Registrations,Circulation,Sessions
120,Clairlea-Birchmount,ES,Eglinton Square,2015,202550.0,1398,249279,37650.0
102,Forest Hill North,FH,Forest Hill,2015,101125.0,1004,198480,21600.0
165,Harbourfront-CityPlace,FO,Fort York,2015,180200.0,3732,219431,49513.0
044,Flemingdon Park,FP,Flemingdon Park,2015,191338.0,1058,148828,50388.0
047,Don Valley Village,FV,Fairview,2015,426072.0,5792,805825,232297.0
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2015,94525.0,511,183970,25863.0
130,Milliken,GHP,Goldhawk Park,2015,179312.0,777,264751,49572.0
140,Guildwood,GW,Guildwood,2015,45763.0,389,121419,12600.0
016,Stonegate-Queensway,HB,Humber Bay,2015,51825.0,552,172226,8725.0
134,Highland Creek,HC,Highland Creek,2015,69713.0,702,179144,21838.0
048,Hillcrest Village,HIL,Hillcrest,2015,108500.0,763,340458,31550.0
087,High Park-Swansea,HP,High Park,2015,185788.0,1200,327969,43475.0
021,Humber Summit,HS,Humber Summit,2015,46888.0,457,73816,27700.0
001,West Humber-Clairville,HW,Humberwood,2015,109813.0,510,82685,21575.0
