NBHDNo,NBHDName,BranchCode,BranchName,Year,Visits
043,Victoria Village,VV,Victoria Village,2014,37750
113,Weston,WE,Weston,2014,94875
022,Humbermede,WP,Woodview Park,2014,37725
129,Agincourt North,WS,Woodside Square,2014,439963
096,Casa Loma,WY,Wychwood,2014,105900
095,Annex,YO,Yorkville,2014,177013
025,Glenfield-Jane Heights,YW,York Woods,2014,225983
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2015,194587
120,Clairlea-Birchmount,ACD,Albert Campbell,2015,277118
020,Alderwood,AD,Alderwood,2015,101250
118,Tam O'Shanter-Sullivan,AG,Agincourt,2015,397421
039,Bedford Park-Nortown,AH,Armour Heights,2015,67038
090,Junction Area,AN,Annette Street,2015,117375
030,Brookhaven-Amesbury,AP,Amesbury Park,2015,51313
150,Fenside-Parkwoods,BB,Brookbanks,2015,75938
154,Oakdale-Beverley Heights,BC,Black Creek,2015,89425
157,Bendale South,BD,Bendale,2015,65550
063,The Beaches,BE,Beaches,2015,185450
032,Englemount-Lawrence,BF,Barbara Frum,2015,264647
083,Dufferin Grove,BL,Bloor/Gladstone,2015,362150
015,Kingsway South,BR,Brentwood,2015,232857
147,L'Amoreaux West,BRW,Bridlewood,2015,380100
146,Malvern East,BUR,Burrows Hall,2015,99100
123,Cliffcrest,CC,Cliffcrest,2015,79300
035,Westminster-Branson,CE,Centennial,2015,118613
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2015,352780
170,Yonge-Bay Corridor,CH,City Hall,2015,197250
037,Willowdale West,CL,North York Central Library,2015,1538044
080,Palmerston-Little Italy,CS,College/Shaw,2015,123950
064,Woodbine Corridor,DA,Danforth/Coxwell,2015,158113
042,Banbury-Don Mills,DM,Don Mills,2015,267097
155,Downsview,DO,Downsview,2015,174447
098,Rosedale-Moore Park,DP,Deer Park,2015,247425
054,O'Connor-Parkview,DR,Dawes Road,2015,114925
094,Wychwood,DT,Davenport,2015,39975
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2015,105000
158,Islington,EA,Eatonville,2015,226512
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2015,45000
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2015,52900
052,Bayview Village,EN,Ethennonnhawahstihnen',2015,171555
120,Clairlea-Birchmount,ES,Eglinton Square,2015,202550
102,Forest Hill North,FH,Forest Hill,2015,101125
165,Harbourfront-CityPlace,FO,Fort York,2015,180200
044,Flemingdon Park,FP,Flemingdon Park,2015,191338
047,Don Valley Village,FV,Fairview,2015,426072
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2015,94525
130,Milliken,GHP,Goldhawk Park,2015,179312
140,Guildwood,GW,Guildwood,2015,45763
016,Stonegate-Queensway,HB,Humber Bay,2015,51825
134,Highland Creek,HC,Highland Creek,2015,69713
048,Hillcrest Village,HIL,Hillcrest,2015,108500
087,High Park-Swansea,HP,High Park,2015,185788
021,Humber Summit,HS,Humber Summit,2015,46888
001,West Humber-Clairville,HW,Humberwood,2015,109813
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2015,150800
070,South Riverdale,JO,Jones,2015,75850
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2015,103250
125,Ionview,KE,Kennedy/Eglinton,2015,110675
019,Long Branch,LB,Long Branch,2015,53775
056,Leaside-Bennington,LE,Leaside,2015,147050
103,Lawrence Park South,LO,Locke,2015,169263
078,Kensington-Chinatown,LS,Lillian H. Smith,2015,317780
062,East End-Danforth,MA,Main Street,2015,116263
146,Malvern East,MAL,Malvern,2015,362833
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2015,205793
126,Dorset Park,MCG,McGregor Park,2015,125177
115,Mount Dennis,MD,Mount Dennis,2015,80588
160,Mimico-Queensway,MI,Mimico Centennial,2015,94488
099,Mount Pleasant East,MP,Mount Pleasant,2015,62863
119,Wexford-Maryvale,MRV,Maryvale,2015,167575
136,West Hill,MS,Morningside,2015,91163
100,Yonge-Eglinton,ND,Northern District,2015,306319
001,West Humber-Clairville,NE,Northern Elms,2015,35163
018,New Toronto,NT,New Toronto,2015,73324
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2015,72713
069,Blake-Jones,PA,Pape/Danforth,2015,229683
171,Junction-Wallace Emerson,PE,Perth/Dupont,2015,34938
085,South Parkdale,PK,Parkdale,2015,430586
073,Moss Park,PL,Parliament Street,2015,245031
095,Annex,PM,Palmerston,2015,93588
133,Centennial Scarborough,PU,Port Union,2015,107850
046,Pleasant View,PV,Pleasant View,2015,74638
070,South Riverdale,QS,Queen/Saulter,2015,58850
068,North Riverdale,RD,Riverdale,2015,198713
007,Willowridge-Martingrove-Richview,RI,Richview,2015,422923
088,High Park North,RN,Runnymede,2015,473488
004,Rexdale-Kipling,RX,Rexdale,2015,53825
078,Kensington-Chinatown,SA,Sanderson,2015,250775
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2015,83038
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2015,29788
074,North St. James Town,SJ,St. James Town,2015,177063
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2015,103806
095,Annex,SP,Spadina Road,2015,88788
116,Steeles,ST,Steeles,2015,161988
087,High Park-Swansea,SW,Swansea Memorial,2015,17988
059,Danforth Village - East York,SWS,S. Walter Stewart,2015,244873
