NBHDNo,NBHDName,BranchCode,BranchName,Year,Registrations
001,West Humber-Clairville,NE,Northern Elms,2016,386
018,New Toronto,NT,New Toronto,2016,624
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2016,571
069,Blake-Jones,PA,Pape/Danforth,2016,1723
171,Junction-Wallace Emerson,PE,Perth/Dupont,2016,290
085,South Parkdale,PK,Parkdale,2016,1909
073,Moss Park,PL,Parliament Street,2016,1540
095,Annex,PM,Palmerston,2016,833
133,Centennial Scarborough,PU,Port Union,2016,737
046,Pleasant View,PV,Pleasant View,2016,561
070,South Riverdale,QS,Queen/Saulter,2016,498
068,North Riverdale,RD,Riverdale,2016,976
007,Willowridge-Martingrove-Richview,RI,Richview,2016,2872
088,High Park North,RN,Runnymede,2016,1867
004,Rexdale-Kipling,RX,Rexdale,2016,462
078,Kensington-Chinatown,SA,Sanderson,2016,1169
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2016,2173
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2016,306
074,North St. James Town,SJ,St. James Town,2016,1588
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2016,1415
095,Annex,SP,Spadina Road,2016,720
116,Steeles,ST,Steeles,2016,1004
087,High Park-Swansea,SW,Swansea Memorial,2016,92
059,Danforth Village - East York,SWS,S. Walter Stewart,2016,1269
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2016,401
055,Thorncliffe Park,TH,Thorncliffe,2016,1627
058,Old East York,TOD,Todmorden Room,2016,190
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2016,13403
043,Victoria Village,VV,Victoria Village,2016,541
113,Weston,WE,Weston,2016,1027
022,Humbermede,WP,Woodview Park,2016,480
129,Agincourt North,WS,Woodside Square,2016,2000
096,Casa Loma,WY,Wychwood,2016,1164
095,Annex,YO,Yorkville,2016,1003
025,Glenfield-Jane Heights,YW,York Woods,2016,2379
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2017,6889
120,Clairlea-Birchmount,ACD,Albert Campbell,2017,1625
020,Alderwood,AD,Alderwood,2017,545
118,Tam O'Shanter-Sullivan,AG,Agincourt,2017,2538
039,Bedford Park-Nortown,AH,Armour Heights,2017,645
090,Junction Area,AN,Annette Street,2017,1234
030,Brookhaven-Amesbury,AP,Amesbury Park,2017,485
150,Fenside-Parkwoods,BB,Brookbanks,2017,792
154,Oakdale-Beverley Heights,BC,Black Creek,2017,1210
157,Bendale South,BD,Bendale,2017,709
063,The Beaches,BE,Beaches,2017,1533
032,Englemount-Lawrence,BF,Barbara Frum,2017,2256
083,Dufferin Grove,BL,Bloor/Gladstone,2017,3267
015,Kingsway South,BR,Brentwood,2017,2237
147,L'Amoreaux West,BRW,Bridlewood,2017,2045
146,Malvern East,BUR,Burrows Hall,2017,735
123,Cliffcrest,CC,Cliffcrest,2017,725
035,Westminster-Branson,CE,Centennial,2017,2092
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2017,3831
170,Yonge-Bay Corridor,CH,City Hall,2017,2504
037,Willowdale West,CL,North York Central Library,2017,4960
080,Palmerston-Little Italy,CS,College/Shaw,2017,1115
064,Woodbine Corridor,DA,Danforth/Coxwell,2017,1174
042,Banbury-Don Mills,DM,Don Mills,2017,1909
155,Downsview,DO,Downsview,2017,1927
098,Rosedale-Moore Park,DP,Deer Park,2017,1850
054,O'Connor-Parkview,DR,Dawes Road,2017,1334
094,Wychwood,DT,Davenport,2017,316
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2017,808
158,Islington,EA,Eatonville,2017,2754
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2017,410
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2017,573
052,Bayview Village,EN,Ethennonnhawahstihnen',2017,2628
120,Clairlea-Birchmount,ES,Eglinton Square,2017,1366
102,Forest Hill North,FH,Forest Hill,2017,951
165,Harbourfront-CityPlace,FO,Fort York,2017,3661
044,Flemingdon Park,FP,Flemingdon Park,2017,991
047,Don Valley Village,FV,Fairview,2017,6056
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2017,735
130,Milliken,GHP,Goldhawk Park,2017,856
140,Guildwood,GW,Guildwood,2017,348
016,Stonegate-Queensway,HB,Humber Bay,2017,655
134,Highland Creek,HC,Highland Creek,2017,757
048,Hillcrest Village,HIL,Hillcrest,2017,938
087,High Park-Swansea,HP,High Park,2017,1285
021,Humber Summit,HS,Humber Summit,2017,289
001,West Humber-Clairville,HW,Humberwood,2017,565
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2017,1359
070,South Riverdale,JO,Jones,2017,674
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2017,1121
125,Ionview,KE,Kennedy/Eglinton,2017,1547
019,Long Branch,LB,Long Branch,2017,579
056,Leaside-Bennington,LE,Leaside,2017,1274
103,Lawrence Park South,LO,Locke,2017,1849
078,Kensington-Chinatown,LS,Lillian H. Smith,2017,3198
062,East End-Danforth,MA,Main Street,2017,999
146,Malvern East,MAL,Malvern,2017,2516
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2017,1599
126,Dorset Park,MCG,McGregor Park,2017,1368
115,Mount Dennis,MD,Mount Dennis,2017,821
160,Mimico-Queensway,MI,Mimico Centennial,2017,954
099,Mount Pleasant East,MP,Mount Pleasant,2017,589
119,Wexford-Maryvale,MRV,Maryvale,2017,1158
136,West Hill,MS,Morningside,2017,1059
100,Yonge-Eglinton,ND,Northern District,2017,3384
001,West Humber-Clairville,NE,Northern Elms,2017,457
018,New Toronto,NT,New Toronto,2017,597
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2017,613
069,Blake-Jones,PA,Pape/Danforth,2017,1645
171,Junction-Wallace Emerson,PE,Perth/Dupont,2017,376
085,South Parkdale,PK,Parkdale,2017,2129
073,Moss Park,PL,Parliament Street,2017,1680
095,Annex,PM,Palmerston,2017,816
133,Centennial Scarborough,PU,Port Union,2017,849
046,Pleasant View,PV,Pleasant View,2017,569
070,South Riverdale,QS,Queen/Saulter,2017,566
068,North Riverdale,RD,Riverdale,2017,914
007,Willowridge-Martingrove-Richview,RI,Richview,2017,2833
088,High Park North,RN,Runnymede,2017,1296
004,Rexdale-Kipling,RX,Rexdale,2017,427
078,Kensington-Chinatown,SA,Sanderson,2017,1247
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2017,2449
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2017,287
074,North St. James Town,SJ,St. James Town,2017,1659
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2017,1769
