NBHDNo,NBHDName,BranchCode,BranchName,Year,Circulation
099,Mount Pleasant East,MP,Mount Pleasant,2017,155354
119,Wexford-Maryvale,MRV,Maryvale,2017,187741
136,West Hill,MS,Morningside,2017,161130
100,Yonge-Eglinton,ND,Northern District,2017,456927
001,West Humber-Clairville,NE,Northern Elms,2017,76862
018,New Toronto,NT,New Toronto,2017,125383
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2017,117577
069,Blake-Jones,PA,Pape/Danforth,2017,386965
171,Junction-Wallace Emerson,PE,Perth/Dupont,2017,92619
085,South Parkdale,PK,Parkdale,2017,357701
073,Moss Park,PL,Parliament Street,2017,203705
095,Annex,PM,Palmerston,2017,194152
133,Centennial Scarborough,PU,Port Union,2017,203226
046,Pleasant View,PV,Pleasant View,2017,190453
070,South Riverdale,QS,Queen/Saulter,2017,113269
068,North Riverdale,RD,Riverdale,2017,238778
007,Willowridge-Martingrove-Richview,RI,Richview,2017,539487
088,High Park North,RN,Runnymede,2017,281048
004,Rexdale-Kipling,RX,Rexdale,2017,79110
078,Kensington-Chinatown,SA,Sanderson,2017,193422
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2017,179314
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2017,50583
074,North St. James Town,SJ,St. James Town,2017,223251
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2017,215415
095,Annex,SP,Spadina Road,2017,176028
116,Steeles,ST,Steeles,2017,238620
087,High Park-Swansea,SW,Swansea Memorial,2017,68141
059,Danforth Village - East York,SWS,S. Walter Stewart,2017,407819
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2017,94731
055,Thorncliffe Park,TH,Thorncliffe,2017,168175
058,Old East York,TOD,Todmorden Room,2017,51952
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2017,404937
043,Victoria Village,VV,Victoria Village,2017,99426
113,Weston,WE,Weston,2017,128443
022,Humbermede,WP,Woodview Park,2017,67938
129,Agincourt North,WS,Woodside Square,2017,340490
096,Casa Loma,WY,Wychwood,2017,232975
095,Annex,YO,Yorkville,2017,286724
025,Glenfield-Jane Heights,YW,York Woods,2017,199765
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2018,328536
120,Clairlea-Birchmount,ACD,Albert Campbell,2018,303855
020,Alderwood,AD,Alderwood,2018,155864
118,Tam O'Shanter-Sullivan,AG,Agincourt,2018,623148
039,Bedford Park-Nortown,AH,Armour Heights,2018,214013
090,Junction Area,AN,Annette Street,2018,201476
030,Brookhaven-Amesbury,AP,Amesbury Park,2018,85101
150,Fenside-Parkwoods,BB,Brookbanks,2018,156836
154,Oakdale-Beverley Heights,BC,Black Creek,2018,86179
157,Bendale South,BD,Bendale,2018,122497
063,The Beaches,BE,Beaches,2018,289818
032,Englemount-Lawrence,BF,Barbara Frum,2018,503402
083,Dufferin Grove,BL,Bloor/Gladstone,2018,369252
015,Kingsway South,BR,Brentwood,2018,418716
147,L'Amoreaux West,BRW,Bridlewood,2018,419149
146,Malvern East,BUR,Burrows Hall,2018,123742
123,Cliffcrest,CC,Cliffcrest,2018,137460
035,Westminster-Branson,CE,Centennial,2018,297665
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2018,394326
170,Yonge-Bay Corridor,CH,City Hall,2018,273173
037,Willowdale West,CL,North York Central Library,2018,764881
080,Palmerston-Little Italy,CS,College/Shaw,2018,182356
064,Woodbine Corridor,DA,Danforth/Coxwell,2018,269855
042,Banbury-Don Mills,DM,Don Mills,2018,545675
155,Downsview,DO,Downsview,2018,185960
098,Rosedale-Moore Park,DP,Deer Park,2018,401466
054,O'Connor-Parkview,DR,Dawes Road,2018,162061
094,Wychwood,DT,Davenport,2018,131944
